Chromosome	hotspot_coord	hotspot	hotspot_sample_counts	proj_label	viruses	insert_genes	insert_gene_count
chr12	77692311	chr12:77692311	3	NATGEN2015	HPV33,HPV16	RP1-34H18.1~RP11-781A6.1	3
chr12	89828590	chr12:89828590	3	NATGEN2015,TCGA^HNSC	HPV16,HPV58	RNU6-148P~RP11-654D12.1	2
chr12	95921492	chr12:95921492	3	NATGEN2015	HPV16,HPV33	AMDHD1	1
chr12	96734864	chr12:96734864	3	NATGEN2015	HPV33,HPV16	CFAP54	3
chr12	101163706	chr12:101163706	3	NATGEN2015	HPV16	ANO4	1
chr12	101791780	chr12:101791780	3	NATGEN2015,TCGA^CESC	HPV16	GNPTAB	2
chr12	102137059	chr12:102137059	3	NATGEN2015,TCGA^CESC,TCGA^LIHC	HBV,HPV16	PARPBP	2
chr12	115544455	chr12:115544455	3	NATGEN2015	HPV16,HPV33	RP11-1028N23.4	1
chr12	126196062	chr12:126196062	3	NATGEN2015	HPV16	RP1-116K23.1~RP4-765H13.1	1
chr12	128043554	chr12:128043554	3	NATGEN2015,TCGA^LIHC	HPV16,HBV,HPV33	LINC00508~RP11-349K16.1	1
chr12	128682859	chr12:128682859	3	NATGEN2015	HPV16,HPV58	AC107020.1~SLC15A4	2
chr12	130375578	chr12:130375578	3	NATGEN2015	HPV33,HPV58,HPV11	PIWIL1	1
chr12	132392527	chr12:132392527	3	NATGEN2015	HPV33,HPV16	RP13-895J2.11~RP13-714J12.1	3
chr13	16218835	chr13:16218835	3	NATGEN2015	HPV16	~RP11-341D18.2	3
chr13	16451935	chr13:16451935	3	NATGEN2015	HPV16,HPV11	~RP11-341D18.2	3
chr13	16758731	chr13:16758731	3	NATGEN2015	HPV16,HPV18	~RP11-341D18.2	3
chr13	17073919	chr13:17073919	3	NATGEN2015	HPV16	~RP11-341D18.2	3
chr13	17234834	chr13:17234834	3	NATGEN2015	HPV16	~RP11-341D18.2	3
chr13	18820896	chr13:18820896	3	NATGEN2015	HPV33,HPV16	ANKRD20A9P	1
chr13	19137826	chr13:19137826	3	NATGEN2015,TCGA^CESC	HPV16,HPV58	CENPIP1	3
chr13	20372314	chr13:20372314	3	NATGEN2015,TCGA^CESC	HPV70,HPV16,HPV33	CRYL1	2
chr13	28589152	chr13:28589152	3	NATGEN2015	HPV16,HPV33	RP11-95G6.1~EIF4A1P7	2
chr13	32027271	chr13:32027271	3	NATGEN2015	HPV18,HPV16	FRY	2
chr13	32726516	chr13:32726516	3	NATGEN2015,TCGA^LIHC	HBV,HPV16	PDS5B	3
chr13	35741039	chr13:35741039	3	NATGEN2015	HPV16,HPV33	LINC00445~DCLK1	2
chr13	36847537	chr13:36847537	3	NATGEN2015	HPV33,HPV16	NDE1P2~RFXAP	1
chr13	38694659	chr13:38694659	3	NATGEN2015	HPV16,HPV11	PRDX3P3~RNU6-56P	2
chr13	43188438	chr13:43188438	3	NATGEN2015	HPV11,HPV16	ENOX1	2
chr13	44585801	chr13:44585801	3	NATGEN2015,TCGA^LIHC	HBV,HPV33,HPV16	LINC00407	1
chr13	48041855	chr13:48041855	3	NATGEN2015,TCGA^LIHC	HPV16,HBV	MED4	2
chr13	51838081	chr13:51838081	3	NATGEN2015	HPV16	CCDC70~CTAGE3P	1
chr13	58159913	chr13:58159913	3	NATGEN2015	HPV16,HPV33	LINC00374~RP11-168J5.2	1
chr13	64325469	chr13:64325469	3	NATGEN2015	HPV16	LINC00355~AL356253.1	3
chr13	64896549	chr13:64896549	3	NATGEN2015,TCGA^CESC	HPV16,HPV58	AL356253.1~LGMNP1	3
chr13	66722738	chr13:66722738	3	NATGEN2015,TCGA^CESC,TCGA^LIHC	HPV16,HBV	PCDH9	3
chr13	67745424	chr13:67745424	3	NATGEN2015,TCGA^CESC	HPV16,HPV58	LINC00364~BCRP9	2
chr13	67880228	chr13:67880228	3	NATGEN2015	HPV16,HPV33	OR7E33P~ELL2P3	2
chr13	69362306	chr13:69362306	3	NATGEN2015	HPV16	LINC00383~LINC00401	1
chr13	69521444	chr13:69521444	3	NATGEN2015,TCGA^CESC	HPV16	SRSF1P1~RNY3P10	3
chr13	69814349	chr13:69814349	3	NATGEN2015	HPV58,HPV16	KLHL1	3
chr13	77225397	chr13:77225397	3	NATGEN2015	HPV58,HPV16	MYCBP2	3
chr13	77494195	chr13:77494195	3	NATGEN2015	HPV18,HPV16	MYCBP2~SCEL	2
chr13	79246622	chr13:79246622	3	NATGEN2015	HPV31,HPV16	BCAS2P3~RBM26	2
chr13	83297011	chr13:83297011	3	NATGEN2015	HPV16,HPV11	RNU6-67P~SLITRK1	2
chr13	102745070	chr13:102745070	3	NATGEN2015	HPV16	ERCC5	1
chr13	103309171	chr13:103309171	3	NATGEN2015	HPV16	SLC10A2~LINC01309	3
chr13	104837893	chr13:104837893	3	NATGEN2015	HPV16,HPV33	RPL7P45~DAOA-AS1_1	2
chr13	112653797	chr13:112653797	3	NATGEN2015,TCGA^CESC	HPV16	ATP11A-AS1;ATP11A	1
chr13	114008013	chr13:114008013	3	NATGEN2015	HPV11,HPV33,HPV16	RASA3	2
chr13	114231137	chr13:114231137	3	NATGEN2015,TCGA^CESC	HPV16	CDC16	2
chr14	16089459	chr14:16089459	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	~RP11-754I20.1	3
chr14	16336825	chr14:16336825	3	NATGEN2015	HPV16	~RP11-754I20.1	3
chr14	16574210	chr14:16574210	3	NATGEN2015	HPV16,HPV11	~RP11-754I20.1	3
chr14	16881006	chr14:16881006	3	NATGEN2015	HPV16,HPV18	~RP11-754I20.1	3
chr14	17196194	chr14:17196194	3	NATGEN2015	HPV16	~RP11-754I20.1	3
chr14	17357110	chr14:17357110	3	NATGEN2015	HPV16	~RP11-754I20.1	3
chr14	19120700	chr14:19120700	3	NATGEN2015,TCGA^LIHC	HBV,HPV16	RP11-146E13.4	2
chr14	22568317	chr14:22568317	3	NATGEN2015	HPV16,HPV33	TRAJ1~AE000662.93	2
chr14	23910214	chr14:23910214	3	NATGEN2015,TCGA^HNSC	HPV35,HPV16,HPV11	DHRS4-AS1	1
chr14	24840706	chr14:24840706	3	NATGEN2015,TCGA^CESC	HPV16,HPV73	STXBP6	2
chr14	27187851	chr14:27187851	3	NATGEN2015	HPV58,HPV16	CTD-3006G17.2	1
chr14	29230382	chr14:29230382	3	NATGEN2015,TCGA^LIHC	HBV,HPV58,HPV16	RP11-562L8.1	2
chr14	33966578	chr14:33966578	3	NATGEN2015	HPV16	EGLN3	1
chr14	37398026	chr14:37398026	3	NATGEN2015,TCGA^CESC	HPV16	MIPOL1	3
chr14	61368724	chr14:61368724	3	NATGEN2015,TCGA^LIHC	HBV,HPV16	PRKCH	2
chr14	64850441	chr14:64850441	3	NATGEN2015	HPV16,HPV33,HPV11	SPTB	2
chr14	73496468	chr14:73496468	3	NATGEN2015	HPV58,HPV16	HEATR4	3
chr14	89825344	chr14:89825344	3	NATGEN2015	HPV16	EFCAB11	3
chr14	94419088	chr14:94419088	3	NATGEN2015,TCGA^LIHC	HBV,HPV16	RP11-349I1.2	1
chr14	95213069	chr14:95213069	3	NATGEN2015	HPV16	CLMN	3
chr14	99553789	chr14:99553789	3	NATGEN2015	HPV16,HPV33	CCDC85C	3
chr14	101030371	chr14:101030371	3	NATGEN2015	HPV16,HPV33	MEG9~AL132709.1	1
chr14	102963685	chr14:102963685	3	NATGEN2015	HPV16,HPV33	CDC42BPB	2
chr14	104424118	chr14:104424118	3	NATGEN2015	HPV33,HPV58,HPV16	RNU6-684P~CEND1P1	2
chr14	105190500	chr14:105190500	3	NATGEN2015	HPV16,HPV11	BRF1	1
chr15	17299700	chr15:17299700	3	NATGEN2015,TCGA^CESC	HPV16,HPV11	~RP11-79C23.1	3
chr15	24649016	chr15:24649016	3	NATGEN2015	HPV16,HPV18	NPAP1~RP11-385H1.1	1
chr15	29983573	chr15:29983573	3	NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV16	RP11-143J24.1	1
chr15	31767337	chr15:31767337	3	NATGEN2015,TCGA^LIHC	HBV,HPV33,HPV16	OTUD7A	3
chr15	35034469	chr15:35034469	3	NATGEN2015	HPV16,HPV33	AQR	1
chr15	37931925	chr15:37931925	3	NATGEN2015	HPV16	TMCO5A	2
chr15	40810567	chr15:40810567	3	NATGEN2015	HPV16	DNAJC17	1
chr15	43971616	chr15:43971616	3	NATGEN2015,TCGA^STAD	Eppstein-Barr,HPV16	FRMD5	3
chr15	45067455	chr15:45067455	3	NATGEN2015,TCGA^CESC	HPV18,HPV16	SORD	2
chr15	56019656	chr15:56019656	3	NATGEN2015	HPV16,HPV33	CNOT6LP1~RN7SL568P	1
chr15	56388742	chr15:56388742	3	NATGEN2015,TCGA^CESC	HPV16	TEX9	2
chr15	62303718	chr15:62303718	3	NATGEN2015	HPV16	GOLGA2P11	1
chr15	66231096	chr15:66231096	3	NATGEN2015,TCGA^HNSC	HPV16	MEGF11	2
chr15	70565664	chr15:70565664	3	NATGEN2015,TCGA^CESC	HPV16	RP11-64K10.1~SALRNA3	1
chr15	74012486	chr15:74012486	3	NATGEN2015	HPV16,HPV33	PML	3
chr15	83328361	chr15:83328361	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	RP11-382A20.4	2
chr15	84476658	chr15:84476658	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	RP11-182J1.13~Metazoa_SRP	2
chr15	88214662	chr15:88214662	3	NATGEN2015	HPV16	NTRK3	2
chr15	99405478	chr15:99405478	3	NATGEN2015	HPV16,HPV33	LRRC28	1
chr15	100720555	chr15:100720555	3	NATGEN2015,TCGA^CESC	HPV16	RP11-66B24.5	2
chr16	7271324	chr16:7271324	3	NATGEN2015	HPV33,HPV16	RBFOX1	3
chr16	12129458	chr16:12129458	3	NATGEN2015,TCGA^CESC	HPV16	SNX29	2
chr16	14334716	chr16:14334716	3	NATGEN2015,TCGA^CESC	HPV33,HPV16	RP11-65J21.1~RP11-65J21.4	1
chr16	14921725	chr16:14921725	3	NATGEN2015	HPV16,HPV33	NOMO1	1
chr16	15368172	chr16:15368172	3	NATGEN2015	HPV16,HPV33	NPIPA5	2
chr16	15852661	chr16:15852661	3	NATGEN2015,TCGA^CESC	HPV11,HPV16,HPV31	AF001548.3~FOPNL	1
chr16	19618964	chr16:19618964	3	NATGEN2015,TCGA^LIHC	HPV16,HPV33,HBV	C16orf62	3
chr16	20504410	chr16:20504410	3	NATGEN2015,TCGA^LIHC	HBV,HPV33,HPV16	ACSM2B	2
chr16	25707703	chr16:25707703	3	NATGEN2015	HPV16	HS3ST4	2
chr16	26856268	chr16:26856268	3	NATGEN2015	HPV16,HPV59	AC009035.1~RP11-673P17.2	3
chr16	27320389	chr16:27320389	3	NATGEN2015	HPV11,HPV33,HPV16	FLJ21408~CTD-3203P2.3	2
chr16	27753456	chr16:27753456	3	NATGEN2015	HPV16	KIAA0556	3
chr16	29022049	chr16:29022049	3	NATGEN2015,TCGA^CESC	HPV16	CTB-134H23.3	1
chr16	32816747	chr16:32816747	3	NATGEN2015,TCGA^CESC	HPV16,HPV18	RP11-586K12.1	1
chr16	32986412	chr16:32986412	3	NATGEN2015	HPV33,HPV16	RP11-19N8.2	2
chr16	33173582	chr16:33173582	3	NATGEN2015	HPV16,HPV18	HERC2P8	1
chr16	34247962	chr16:34247962	3	NATGEN2015,TCGA^CESC	HPV11,HPV33,HPV45	RNA5-8SP2~ABBA01017803.1	2
chr16	36387830	chr16:36387830	3	NATGEN2015,TCGA^CESC	HPV16	PPP1R1AP2~ANKRD26P1	3
chr16	48146699	chr16:48146699	3	NATGEN2015,TCGA^HNSC	HPV18,HPV16	ABCC12	2
chr16	50536169	chr16:50536169	3	NATGEN2015	HPV16,HPV11	NKD1	1
chr16	54380810	chr16:54380810	3	NATGEN2015	HPV33,HPV16	RP11-434E6.2~RP11-1136G4.1	2
chr16	56303407	chr16:56303407	3	NATGEN2015	HPV18,HPV16,HPV33	GNAO1	3
chr16	56739549	chr16:56739549	3	NATGEN2015	HPV33,HPV16,HPV11	MT1A;NUP93	2
chr16	59826433	chr16:59826433	3	NATGEN2015,TCGA^CESC	HPV16	APOOP5~RP11-430C1.1	3
chr16	62076855	chr16:62076855	3	NATGEN2015	HPV11,HPV16	CDH8	1
chr16	66889032	chr16:66889032	3	NATGEN2015	HPV16,HPV33	CDH16~RRAD	1
chr16	67390445	chr16:67390445	3	NATGEN2015	HPV16,HPV18	LRRC36	1
chr16	74702522	chr16:74702522	3	NATGEN2015	HPV16,HPV33	MLKL	2
chr16	77521824	chr16:77521824	3	NATGEN2015	HPV16,HPV33	RP11-449J10.1~RP11-571O6.1	3
chr16	78061010	chr16:78061010	3	NATGEN2015,TCGA^HNSC	HPV16	RP11-358L22.2~RP11-358L22.3	2
chr16	78995540	chr16:78995540	3	NATGEN2015,TCGA^LIHC	HPV16,HPV33,HBV	WWOX	3
chr16	82251001	chr16:82251001	3	NATGEN2015	HPV16,HPV11	RN7SKP190~AC024590.1	3
chr16	84154711	chr16:84154711	3	NATGEN2015,TCGA^CESC	HPV16,HPV33,HPV11	DNAAF1	1
chr16	86336487	chr16:86336487	3	NATGEN2015,TCGA^CESC	HPV16,HPV31,HPV59	RP11-514D23.1~LINC00917	2
chr17	6416500	chr17:6416500	3	NATGEN2015,TCGA^CESC	HPV16,HPV18,HPV33	AIPL1	2
chr17	9760042	chr17:9760042	3	NATGEN2015	HPV16,HPV33	DHRS7C~RP11-477N12.3	1
chr17	11973206	chr17:11973206	3	NATGEN2015	HPV16	DNAH9	1
chr17	17061064	chr17:17061064	3	NATGEN2015,TCGA^CESC,TCGA^LIHC	HPV16,HBV,HPV58	MPRIP	2
chr17	21267875	chr17:21267875	3	NATGEN2015	HPV16,HPV58	MAP2K3	1
chr17	24485960	chr17:24485960	3	NATGEN2015	HPV11,HPV16	RP11-846F4.11~RP11-260A9.1	3
chr17	26914214	chr17:26914214	3	NATGEN2015,TCGA^LIHC	HPV16,HBV	RP11-846F4.11~RP11-260A9.1	2
chr17	27510853	chr17:27510853	3	NATGEN2015	HPV16,HPV33	KSR1	3
chr17	27934924	chr17:27934924	3	NATGEN2015,TCGA^LIHC	HPV33,HPV16,HBV	LYRM9~RP11-218F4.1	1
chr17	29667543	chr17:29667543	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	ABHD15-AS1;SSH2	3
chr17	31920818	chr17:31920818	3	NATGEN2015	HPV16,HPV33,HPV11	UTP6~RNA5SP437	2
chr17	33029387	chr17:33029387	3	NATGEN2015	HPV58,HPV16	ASIC2	2
chr17	38037484	chr17:38037484	3	NATGEN2015,TCGA^CESC	HPV16,HPV58	TBC1D3L;TBC1D3C	3
chr17	38192106	chr17:38192106	3	NATGEN2015,TCGA^CESC	HPV16,HPV58	5S_rRNA~TBC1D3	1
chr17	43235788	chr17:43235788	3	NATGEN2015	HPV11,HPV16,HPV33	LINC00854	3
chr17	47142319	chr17:47142319	3	NATGEN2015	HPV16	CDC27	2
chr17	48517370	chr17:48517370	3	NATGEN2015	HPV16,HPV18	HOXB1~HOXB2	1
chr17	51646247	chr17:51646247	3	NATGEN2015,TCGA^CESC	HPV33,HPV16	CA10	3
chr17	53837853	chr17:53837853	3	NATGEN2015,TCGA^CESC	HPV16,HPV11	KIF2B~RP11-618P13.1	2
chr17	56510816	chr17:56510816	3	NATGEN2015,TCGA^LIHC	HPV18,HBV,HPV16	ANKFN1	1
chr17	56869533	chr17:56869533	3	NATGEN2015	HPV16,HPV18	RNU6-1158P~RP11-670E13.3	2
chr17	57747723	chr17:57747723	3	NATGEN2015	HPV33,HPV16	CCDC182~RN7SKP94	1
chr17	59931400	chr17:59931400	3	NATGEN2015,TCGA^CESC	HPV16,HPV18	RPS6KB1	3
chr17	62132952	chr17:62132952	3	NATGEN2015,TCGA^CESC	HPV16	POLRMTP1	1
chr17	62238122	chr17:62238122	3	NATGEN2015,TCGA^CESC	HPV16,HPV58	POLRMTP1~RP11-51L5.3	1
chr17	63449610	chr17:63449610	3	NATGEN2015,TCGA^CESC,TCGA^LIHC	HPV18,HBV,HPV16	RP11-269G24.6~CTD-2501B8.5	2
chr17	66224789	chr17:66224789	3	NATGEN2015,TCGA^LIHC	HPV16,HBV,HPV33	APOH~RNA5SP444	1
chr17	72675637	chr17:72675637	3	NATGEN2015,TCGA^CESC	HPV16,HPV58	SLC39A11	2
chr17	79670830	chr17:79670830	3	NATGEN2015	HPV33,HPV16	CH17-351M24.1~MIR4739	3
chr17	80742561	chr17:80742561	3	NATGEN2015	HPV16,HPV33,HPV58	RPTOR	3
chr18	3590822	chr18:3590822	3	NATGEN2015,TCGA^CESC	HPV11,HPV16	DLGAP1	3
chr18	3744378	chr18:3744378	3	NATGEN2015	HPV18,HPV16	DLGAP1	3
chr18	13231606	chr18:13231606	3	NATGEN2015	HPV33,HPV16	LDLRAD4	2
chr18	16683258	chr18:16683258	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	RNU6-721P~ROCK1	3
chr18	18236908	chr18:18236908	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	RNU6-721P~ROCK1	3
chr18	18770585	chr18:18770585	3	NATGEN2015,TCGA^CESC	HPV16	RNU6-721P~ROCK1	3
chr18	19121298	chr18:19121298	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	RNU6-721P~ROCK1	3
chr18	19358674	chr18:19358674	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	RNU6-721P~ROCK1	3
chr18	20120227	chr18:20120227	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	RNU6-721P~ROCK1	3
chr18	20481928	chr18:20481928	3	NATGEN2015	HPV16	RNU6-721P~ROCK1	3
chr18	27510712	chr18:27510712	3	NATGEN2015,TCGA^CESC	HPV16,HPV18	RP11-739N10.1	3
chr18	45567696	chr18:45567696	3	NATGEN2015	HPV33,HPV58,HPV16	SLC14A2	2
chr18	46937653	chr18:46937653	3	NATGEN2015	HPV33,HPV16	KATNAL2	2
chr18	55835759	chr18:55835759	3	NATGEN2015,TCGA^CESC	HPV16,HPV59	RP11-397A16.3~RP11-214L13.1	2
chr18	57640618	chr18:57640618	3	NATGEN2015	HPV11,HPV16	RP11-35G9.3;RP11-35G9.5	2
chr18	66141798	chr18:66141798	3	NATGEN2015	HPV16	PRPF19P1~CDH19	3
chr18	71047374	chr18:71047374	3	NATGEN2015	HPV16	RP11-529J17.1~RP11-47G4.1	2
chr18	75196878	chr18:75196878	3	NATGEN2015	HPV58,HPV16	RP11-405M12.2~ZADH2	2
chr18	77341408	chr18:77341408	3	NATGEN2015	HPV16,HPV33	GALR1~SNORA25	3
chr18	77492297	chr18:77492297	3	NATGEN2015,TCGA^CESC	HPV33,HPV16	RP11-176N18.2	3
chr18	79337748	chr18:79337748	3	NATGEN2015	HPV33,HPV58,HPV16	ATP9B	3
chr19	85761	chr19:85761	3	NATGEN2015,TCGA^CESC,TCGA^LIHC	HBV,HPV58	MIR1302-11~OR4G1P	2
chr19	2790565	chr19:2790565	3	NATGEN2015	HPV16	SLC39A3~SGTA	1
chr19	3145733	chr19:3145733	3	NATGEN2015	HPV33,HPV16,HPV11	S1PR4	2
chr19	20079317	chr19:20079317	3	NATGEN2015	HPV33,HPV58,HPV16	ZNF90	2
chr19	22096271	chr19:22096271	3	NATGEN2015	HPV16,HPV31,HPV11	BNIP3P30~RP11-157B13.7	1
chr19	23339396	chr19:23339396	3	NATGEN2015	HPV16	LINC01224	1
chr19	24941756	chr19:24941756	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	CTD-2027I19.2~CTB-151G24.2	3
chr19	25047679	chr19:25047679	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	CTD-2027I19.2~CTB-151G24.2	3
chr19	25917491	chr19:25917491	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	CTD-2027I19.2~CTB-151G24.2	3
chr19	26223186	chr19:26223186	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	CTD-2027I19.2~CTB-151G24.2	3
chr19	26422593	chr19:26422593	3	NATGEN2015,TCGA^CESC	HPV33,HPV16	CTD-2027I19.2~CTB-151G24.2	3
chr19	34897818	chr19:34897818	3	NATGEN2015	HPV16	CTC-523E23.11~LOC401913	1
chr19	37907794	chr19:37907794	3	NATGEN2015,TCGA^CESC	HPV16,HPV58	SIPA1L3	3
chr19	38052805	chr19:38052805	3	NATGEN2015,TCGA^CESC	HPV16,HPV33,HPV18	SIPA1L3	3
chr19	39220800	chr19:39220800	3	NATGEN2015,TCGA^LIHC	HBV,HPV58,HPV33	IFNL1~LRFN1	1
chr19	39974843	chr19:39974843	3	NATGEN2015,TCGA^CESC	HPV16,HPV18	ZNF546	2
chr19	42629358	chr19:42629358	3	NATGEN2015,TCGA^CESC,TCGA^HNSC	HPV16,HPV58	AC005204.1~PSG3	1
chr19	47907031	chr19:47907031	3	NATGEN2015,TCGA^CESC	HPV18,HPV16	AC124853.1~BSPH1	2
chr19	52548538	chr19:52548538	3	NATGEN2015	HPV16	ZNF701	2
chr2	1712313	chr2:1712313	3	NATGEN2015	HPV11,HPV16	PXDN	3
chr2	2442448	chr2:2442448	3	NATGEN2015	HPV16	MYT1L-AS1~AC018685.1	3
chr2	4085822	chr2:4085822	3	NATGEN2015,TCGA^CESC	HPV16,HPV33,HPV11	LINC01304~AC012445.1	3
chr2	5029306	chr2:5029306	3	NATGEN2015	HPV16	RNU6-649P~AC073143.1	3
chr2	11652730	chr2:11652730	3	NATGEN2015	HPV11,HPV16	AC106875.1;LPIN1	2
chr2	11835968	chr2:11835968	3	NATGEN2015,TCGA^CESC	HPV16,HPV58	AC096559.1	1
chr2	19674299	chr2:19674299	3	NATGEN2015	HPV16,HPV33	AC019055.1~CISD1P1	2
chr2	23474424	chr2:23474424	3	NATGEN2015	HPV16	KLHL29	2
chr2	28418084	chr2:28418084	3	NATGEN2015,TCGA^CESC	HPV16	AC093690.1~FLJ31356	1
chr2	30887069	chr2:30887069	3	NATGEN2015	HPV33,HPV58,HPV16	CAPN13~AC009305.1	2
chr2	34329143	chr2:34329143	3	NATGEN2015,TCGA^CESC	HPV16	LINC01318~AC011748.1	3
chr2	36524072	chr2:36524072	3	NATGEN2015	HPV58,HPV16	CRIM1	1
chr2	41605521	chr2:41605521	3	NATGEN2015,TCGA^CESC	HPV16	AC010739.1~LDHAP3	2
chr2	42591031	chr2:42591031	3	NATGEN2015	HPV16,HPV58	MTA3	3
chr2	44278495	chr2:44278495	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	SLC3A1	2
chr2	46481086	chr2:46481086	3	NATGEN2015,TCGA^CESC	HPV16	TMEM247	3
chr2	49339226	chr2:49339226	3	NATGEN2015	HPV16,HPV31	RNU6-439P~RPL7P13	3
chr2	57256114	chr2:57256114	3	NATGEN2015,TCGA^KIRC,TCGA^LIHC	HBV,HPV33	AC009406.2~RP11-127H13.1	3
chr2	61423967	chr2:61423967	3	NATGEN2015,TCGA^CESC	HPV16,HPV33	USP34	3
chr2	64647020	chr2:64647020	3	NATGEN2015	HPV16,HPV18	SERTAD2	2
chr2	77654914	chr2:77654914	3	NATGEN2015	HPV16,HPV33	AC084149.1~AC105399.1	1
chr2	81609229	chr2:81609229	3	NATGEN2015	HPV16,HPV18,HPV33	RNA5SP99~AC013262.1	3
chr2	82137628	chr2:82137628	3	NATGEN2015,TCGA^LIHC	HBV,HPV16	AC079896.1~RNU6-685P	3
chr2	87200636	chr2:87200636	3	NATGEN2015	HPV16	AC083899.1~RP11-223J6.2	1
chr2	87404228	chr2:87404228	3	NATGEN2015,TCGA^CESC	HPV16,HPV33,HPV69	RP11-223J6.1~AC068279.3	2
chr2	91578436	chr2:91578436	3	NATGEN2015	HPV16	AC116050.1	2
chr2	92340230	chr2:92340230	3	NATGEN2015	HPV16,HPV59	IGKV1OR2-2~RP11-407P15.1	3
chr2	92551709	chr2:92551709	3	NATGEN2015	HPV16,HPV33,HPV11	IGKV1OR2-2~RP11-407P15.1	3
chr2	92829559	chr2:92829559	3	NATGEN2015	HPV59,HPV16,HPV33	IGKV1OR2-2~RP11-407P15.1	3
chr2	94042480	chr2:94042480	3	NATGEN2015	HPV33,HPV16	IGKV1OR2-2~RP11-407P15.1	3
chr2	105669675	chr2:105669675	3	NATGEN2015	HPV16,HPV33	FHL2~NCK2	3
chr2	106337068	chr2:106337068	3	NATGEN2015,TCGA^CESC	HPV18,HPV11,HPV16	AC114755.3~AC114755.5	2
chr2	110573917	chr2:110573917	3	NATGEN2015	HPV16,HPV33	RGPD6~AC123886.2	2
chr2	111712696	chr2:111712696	3	NATGEN2015	HPV16	AC093166.2~AC093166.3	2
chr2	113831648	chr2:113831648	3	NATGEN2015,TCGA^CESC	HPV16,HPV18	AC104653.1	1
chr2	114003372	chr2:114003372	3	NATGEN2015,TCGA^CESC	HPV16	U3~AC010982.2	2
chr2	116088705	chr2:116088705	3	NATGEN2015,TCGA^LIHC	HBV,HPV16	RPSAP23~RP11-338I24.1	3
chr2	117196042	chr2:117196042	3	NATGEN2015	HPV16	AC092170.1~AC009312.1	2
chr2	118492606	chr2:118492606	3	NATGEN2015	HPV16,HPV18	AC093901.1~RP11-19E11.1	3
chr2	121291651	chr2:121291651	3	NATGEN2015,TCGA^LIHC	HPV16,HBV	AC013399.3~CLASP1	1
chr2	123286886	chr2:123286886	3	NATGEN2015	HPV16,HPV33	AC062020.1~AC073409.1	3
chr2	141122356	chr2:141122356	3	NATGEN2015	HPV34,HPV16	LRP1B	3
chr2	143428704	chr2:143428704	3	NATGEN2015	HPV16,HPV33	AC096558.1;ARHGAP15;RP11-570L15.2	2
chr2	156611574	chr2:156611574	3	NATGEN2015	HPV33,HPV16	GPD2~RPLP0P7	2
chr2	162079607	chr2:162079607	3	NATGEN2015	HPV16	TIMM8AP1~EIF3EP2	2
chr2	168839469	chr2:168839469	3	NATGEN2015,TCGA^CESC	HPV16	NOSTRIN	1
chr2	170136344	chr2:170136344	3	NATGEN2015,TCGA^CESC	HPV16,HPV58	RNU6-1006P~AC012594.1	3
chr2	171112661	chr2:171112661	3	NATGEN2015,TCGA^CESC	HPV16	TLK1	3
chr2	172277356	chr2:172277356	3	NATGEN2015	HPV16,HPV18,HPV33	DLX2-AS1~AC104088.1	2
chr2	182370332	chr2:182370332	3	NATGEN2015	HPV16	PDE1A	3
chr2	195998721	chr2:195998721	3	NATGEN2015,TCGA^CESC	HPV16	DNAH7	3
chr2	196283292	chr2:196283292	3	NATGEN2015,TCGA^HNSC	HPV16	HECW2	2
chr2	201708206	chr2:201708206	3	NATGEN2015,TCGA^LIHC	HPV33,HBV,HPV16	ALS2	1
chr2	210508370	chr2:210508370	3	NATGEN2015,TCGA^LIHC	HPV16,HBV	CPS1	2
chr2	218900763	chr2:218900763	3	NATGEN2015,TCGA^CESC	HPV18,HPV39,HPV31	RNU6-642P~AC097468.7	2
chr2	223146586	chr2:223146586	3	NATGEN2015	HPV16,HPV18	KCNE4	2
chr2	230058900	chr2:230058900	3	NATGEN2015	HPV16	RNY4P19~AC009950.2	2
chr2	231851852	chr2:231851852	3	NATGEN2015,TCGA^CESC	HPV16,HPV58	RP11-690I21.2~MIR1471	2
chr2	234577237	chr2:234577237	3	NATGEN2015,TCGA^LIHC	HPV16,HPV58,HBV	ARL4C~LINC01173	3
chr20	9386518	chr20:9386518	3	NATGEN2015,TCGA^CESC	HPV16	PLCB4	3
chr20	14699293	chr20:14699293	3	NATGEN2015,TCGA^CESC	HPV16,HPV18	MACROD2	3
chr20	15310133	chr20:15310133	3	NATGEN2015,TCGA^CESC	HPV16,HPV18	MACROD2	3
chr20	16277221	chr20:16277221	3	NATGEN2015	HPV33,HPV16,HPV11	PPIAP17~AL118509.1	2
